Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2026-02-06,"""Stair-treadmill ergometer, general""",Cardio,251.4,20,,,,,
2026-02-06,"""Strength training (weight lifting, weight training)""",Cardio,742.4,74,,,,,
2026-02-07,"""Circuit training, general""",Cardio,761.5,64,,,,,
2026-02-07,"""Stair-treadmill ergometer, general""",Cardio,199.8,15,,,,,
2026-02-08,Brazilian Jiu Jitsu,Cardio,500.0,60,,,,,
2026-02-09,Brazilian Jiu Jitsu,Cardio,500.0,60,,,,,
2026-02-10,"""Strength training (weight lifting, weight training)""",Cardio,645.2,88,,,,,
2026-02-11,"""Strength training (weight lifting, weight training)""",Cardio,655.2,63,,,,,
2026-02-12,"""Strength training (weight lifting, weight training)""",Cardio,593.4,67,,,,,
2026-02-13,"""Stair-treadmill ergometer, general""",Cardio,283.9,21,,,,,
2026-02-13,"""Strength training (weight lifting, weight training)""",Cardio,488.5,53,,,,,
2026-02-14,"""Circuit training, general""",Cardio,808.9,65,,,,,
2026-02-15,Brazilian Jiu Jitsu,Cardio,500.0,50,,,,,
2026-02-16,Brazilian Jiu Jitsu,Cardio,500.0,50,,,,,
2026-02-17,"""Strength training (weight lifting, weight training)""",Cardio,841.7,68,,,,,
2026-02-18,"""Strength training (weight lifting, weight training)""",Cardio,554.0,63,,,,,
2026-02-19,"""Strength training (weight lifting, weight training)""",Cardio,569.2,50,,,,,
2026-02-21,"""Circuit training, general""",Cardio,792.3,70,,,,,
2026-02-22,"""Circuit training, general""",Cardio,416.6,27,,,,,
2026-02-24,"""Strength training (weight lifting, weight training)""",Cardio,883.2,73,,,,,
2026-02-25,"""Strength training (weight lifting, weight training)""",Cardio,522.5,59,,,,,
2026-02-26,"""Strength training (weight lifting, weight training)""",Cardio,680.0,60,,,,,
2026-02-27,"""Stair-treadmill ergometer, general""",Cardio,274.8,20,,,,,
2026-02-27,"""Strength training (weight lifting, weight training)""",Cardio,382.7,38,,,,,
2026-02-28,"""Circuit training, general""",Cardio,734.2,65,,,,,
2026-03-01,"""Running (jogging), 5.2 mph (11.5 min mile)""",Cardio,340.9,27,,,,,
2026-03-01,"""Running (jogging), 6 mph (10 min mile)""",Cardio,147.4,10,,,,,
2026-03-02,"""Strength training (weight lifting, weight training)""",Cardio,356.4,46,,,,,
2026-03-03,"""Strength training (weight lifting, weight training)""",Cardio,748.7,73,,,,,
2026-03-03,"""Walking, 2.0 mph, slow pace""",Cardio,314.3,80,,,,,
2026-03-03,"""Walking, 2.5 mph, leisurely pace""",Cardio,270.5,49,,,,,
2026-03-03,Apple Health App Workout,Cardio,68.1,8,,,,,
2026-03-04,"""Strength training (weight lifting, weight training)""",Cardio,550.5,55,,,,,
2026-03-04,"""Walking, 2.0 mph, slow pace""",Cardio,83.0,27,,,,,
2026-03-04,Apple Health App Workout,Cardio,95.8,10,,,,,
2026-03-05,"""Strength training (weight lifting, weight training)""",Cardio,491.3,79,,,,,
2026-03-05,"""Walking, 2.0 mph, slow pace""",Cardio,65.3,20,,,,,
2026-03-05,"""Walking, 3.0 mph, mod. pace, walking dog""",Cardio,290.2,46,,,,,
2026-03-05,Apple Health App Workout,Cardio,56.3,10,,,,,
2026-03-10,"""Strength training (weight lifting, weight training)""",Cardio,358.0,72,,,,,
2026-03-11,"""Strength training (weight lifting, weight training)""",Cardio,272.6,44,,,,,
2026-03-16,"""Strength training (weight lifting, weight training)""",Cardio,503.2,68,,,,,
2026-03-17,"""Strength training (weight lifting, weight training)""",Cardio,494.4,53,,,,,
